,Derivational Morphology,Encyclopedic Semantics,Inflectional Morphology,Lexicographic Semantics
WIKI,0.09587912087912089,0.06799353180932127,0.12196481766664491,0.015509259259259259
SUC,0.06256105006105006,0.09276426546163388,0.16268302802771242,0.025986842105263155
SWOW,0.08965201465201465,0.08966989814312863,0.08769074456366815,0.17420808966861598
SBWC,0.14184981684981685,0.07781211235158605,0.2843009357751882,0.025328947368421055
Glove,0.11814713064713066,0.11351262167959082,0.2367750835358809,0.04384746588693957
